Scenario;Type of unit;Year data;Location;Profile;Fuel;Electrolyser;CO2 capture;CO2 tax level upstream (Eur/kgCO2);CO2 tax level operational(Eur/kgCO2);Weight costs vs emissions;Max yearly emission treshhold;Renewable criterion;Criterion application;Installed capacity(MW or t/h);Total investment(MEuros);Annualised investment(MEuros);Fixed O&M(MEuros);Variable O&M(MEuros);CO2 tax infrastructure (MEuros);CO2 tax process (MEuros);Fuel cost(MEuros);Cost per unit(MEuros);Production(kton or GWh);Sale (MEuros);Electricity consumption(GWh);Production cost fuel (Euros/kgfuel);Production cost fuel (Euros/GJfuel);Production cost fuel (Euros/MWhfuel);Production cost per unit (Euros/kg or kWh output);Load average;Full load hours;CO2e per unit total (kgCO2e/GJfuel);CO2e per unit counted (kgCO2e/GJfuel);CO2e total all system (kg CO2e/GJfuel);CO2e counted all system (kg CO2e/GJfuel);Land use per unit (km2);Land use per unit (km2/GJfuel);Land use total system (km2/GJfuel);Av electricity cost(Euros/MWh)
Straw to DME;Biomass wheat 2;2030 bench;Bornholm;2019;DME;SOEC;W2;0;0;C1_E0;-1;None;0;12.01689594;0;0;0;0;0;0;8.210944;8.210944;88.48;0;0;0;0;0;0.0928;0.873942589;7362.966313;0.030559583;0;0;0;0;0;0;58.75004732
Straw to DME;Sale of biochar 2;2030 bench;Bornholm;2019;DME;SOEC;W2;0;0;C1_E0;-1;None;0;2.310941527;0;0;0;0;0;0;0;0;17.01538462;0;0;0;0;0;0;0.873942589;7362.966313;0;0;0;0;0;0;0;58.75004732
Straw to DME;Wheat2-stage-SOEC;2030 bench;Bornholm;2019;DME;SOEC;W2;0;0;C1_E0;-1;None;0;6.602690077;79.98373308;7.492778459;7.705669454;0.196861788;0;0;0;15.3953097;48.61538462;0;31.11384615;1.153925636;40.06686236;144.2407045;0.316675674;0.873942589;7362.966313;0.087122697;0;5.366554437;0;0;0;0.008480442;58.75004732
Straw to DME;Waste water plant;2030 bench;Bornholm;2019;DME;SOEC;W2;0;0;C1_E0;-1;None;0;17.66188719;1.899576942;0.22192671;0.056987308;0;0;0;0.005416135;0.284330153;83.32516073;0;0.208312902;0;0;0;0.003412296;0.559975652;4717.794868;0;0;0;0;0;0;0;58.75004732
Straw to DME;Electrolysers SOEC heat integrated;2030 bench;Bornholm;2019;DME;SOEC;W2;0;0;C1_E0;-1;None;0;1.569945528;62.1446894;5.499530036;5.313370944;0;0;0;0;10.81290098;7.406680954;0;253.3084886;0;0;0;1.459884805;0.559975652;4717.794868;0.135388254;0;0;0;0.025018652;1.79E-05;0;58.75004732
Straw to DME;H2 pipeline to Wheat-2;2030 bench;Bornholm;2019;DME;SOEC;W2;0;0;C1_E0;-1;None;0;1.004975659;0;0;0;0;0;0;0;0;7.39960192;0;0;0;0;0;0;0.873942589;7362.966313;0;0;0;0;0;0;0;58.75004732
Straw to DME;Heat from district heating;2030 bench;Bornholm;2019;DME;SOEC;W2;0;0;C1_E0;-1;None;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NaN;NaN;0;0;0;0;0;0;0;58.75004732
Straw to DME;Heat sent to district heating;2030 bench;Bornholm;2019;DME;SOEC;W2;0;0;C1_E0;-1;None;0;10.96046553;0;0;0;0;0;0;0;0;80.70153846;0;0;0;0;0;0;0.873942589;7362.966313;0;0;0;0;0;0;0;58.75004732
Straw to DME;Heat sent to other process;2030 bench;Bornholm;2019;DME;SOEC;W2;0;0;C1_E0;-1;None;0;7.262959085;0;0;0;0;0;0;0;0;53.47692308;0;0;0;0;0;0;0.873942589;7362.966313;0;0;0;0;0;0;0;58.75004732
Straw to DME;Sale of oxygen;2030 bench;Bornholm;2019;DME;SOEC;W2;0;0;C1_E0;-1;None;0;12.55956422;0;0;0;0;0;0;0;0;59.25344763;0;0;0;0;0;0;0.559975652;4717.794868;0;0;0;0;0;0;0;58.75004732
Straw to DME;H2 pipes compressor;2030 bench;Bornholm;2019;DME;SOEC;W2;0;0;C1_E0;-1;None;0;60.92929189;0;0;0;0;0;0;0;0;5.141125167;0;4.832657657;0;0;0;0;0.010015258;84.37854779;0;0;0;0;0;0;0;58.75004732
Straw to DME;H2 pipes valve;2030 bench;Bornholm;2019;DME;SOEC;W2;0;0;C1_E0;-1;None;0;61.93426755;0;0;0;0;0;0;0;0;5.134046133;0;0;0;0;0;0;0.009839179;82.89508114;0;0;0;0;0;0;0;58.75004732
Straw to DME;H2 buried pipes;2030 bench;Bornholm;2019;DME;SOEC;W2;0;0;C1_E0;-1;None;0;78.65593247;19.66398312;1.607390183;0.589919494;0;0;0;0;2.197309676;359.8797107;0;0;0;0;0;0.006105678;0.543070196;4575.366401;0.000349768;0;0;0;0.078655932;5.62E-05;0;58.75004732
Straw to DME;Solar tracking;2030 bench;Bornholm;2019;DME;SOEC;W2;0;0;C1_E0;-1;None;0;40;18.353104;1.539094265;0.37123324;0;0;0;0;1.910327505;59.61456;0;0;0;0;0;0.032044647;0.176897804;1490.364;2.587909501;0;0;0;0.6372;0.000455103;0;58.75004732
Straw to DME;OFF_SP379-HH100;2030 bench;Bornholm;2019;DME;SOEC;W2;0;0;C1_E0;-1;None;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NaN;NaN;0;0;0;0;0;0;0;58.75004732
Straw to DME;OFF_SP379-HH150;2030 bench;Bornholm;2019;DME;SOEC;W2;0;0;C1_E0;-1;None;0;64.73605897;148.6738617;13.20631755;2.433797962;0.707127733;0;0;0;16.34724324;251.1523514;0;0;0;0;0;0.065088952;0.460490932;3879.6361;2.475011871;0;0;0;11.1320127;0.007950739;0;58.75004732
Straw to DME;OFF_SP450-HH100;2030 bench;Bornholm;2019;DME;SOEC;W2;0;0;C1_E0;-1;None;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NaN;NaN;0;0;0;0;0;0;0;58.75004732
Straw to DME;OFF_SP450-HH150;2030 bench;Bornholm;2019;DME;SOEC;W2;0;0;C1_E0;-1;None;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NaN;NaN;0;0;0;0;0;0;0;58.75004732
Straw to DME;Electricity from the grid;2030 bench;Bornholm;2019;DME;SOEC;W2;0;0;C1_E0;-1;None;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NaN;NaN;0;0;0;0;0;0;0;58.75004732
Straw to DME;Curtailment;2030 bench;Bornholm;2019;DME;SOEC;W2;0;0;C1_E0;-1;None;0;71.57921983;0;0;0;0;0;0;0;0;20.56394741;0;0;0;0;0;0;0.034099626;287.2893482;0;0;0;0;0;0;0;58.75004732
Straw to DME;Charge batteries;2030 bench;Bornholm;2019;DME;SOEC;W2;0;0;C1_E0;-1;None;0;44.6990715;0;0;0;0;0;0;0;0;6.971944963;0;0.348597248;0;0;0;0;0.018513372;155.975163;0;0;0;0;0;0;0;58.75004732
Straw to DME;Discharge batteries;2030 bench;Bornholm;2019;DME;SOEC;W2;0;0;C1_E0;-1;None;0;44.6990715;0;0;0;0;0;0;0;0;6.927245892;0;0.346362295;0;0;0;0;0.018394678;154.975163;0;0;0;0;0;0;0;58.75004732
Straw to DME;Batteries;2030 bench;Bornholm;2019;DME;SOEC;W2;0;0;C1_E0;-1;None;0;44.6990715;8.045832869;0.81948585;0.120687493;0;0;0;0;0.940173343;150.414563;0;0;0;0;0;0.006250547;0.399412337;3365.048937;0.050212764;0;0;0;0.000774784;5.53E-07;0;58.75004732
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;7362.966313;;;;;;;;;;;;;;;;;;;;;;;;;
